suburb,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,mean_crime_rate
HOVEA,23,21,10,13,12,11,34,22,11,17.444444444444443
HUNTINGDALE,512,591,540,678,853,618,578,436,546,594.6666666666666
ILUKA,204,173,139,72,92,111,40,84,65,108.88888888888889
INGLEWOOD,546,476,648,498,484,369,496,484,562,507.0
INNALOO,1350,1346,1451,2024,1734,1150,1390,1632,1763,1537.7777777777778
JANDABUP,12,40,30,33,25,15,18,14,7,21.555555555555557
JANDAKOT,411,365,415,392,407,270,305,272,329,351.77777777777777
JANE BROOK,167,127,140,168,234,94,85,79,86,131.11111111111111
JARRAHDALE,188,72,43,63,63,76,75,45,60,76.11111111111111
JINDALEE,328,322,195,214,217,184,182,180,169,221.22222222222223
JOLIMONT,90,455,100,62,82,62,67,77,105,122.22222222222223
JOONDALUP,2122,1977,1905,1951,2157,1624,1933,1581,1978,1914.2222222222222
JOONDANNA,428,498,414,351,327,299,306,359,388,374.44444444444446
KALAMUNDA,498,425,389,455,470,368,253,327,496,409.0
KALLAROO,193,212,208,194,258,169,194,174,175,197.44444444444446
KARAWARA,609,671,461,570,428,376,456,544,646,529.0
KARDINYA,570,550,531,686,572,500,458,428,485,531.1111111111111
KARNUP,140,155,108,105,101,160,101,103,102,119.44444444444444
KARRAGULLEN,32,23,24,17,22,17,35,38,12,24.444444444444443
KARRINYUP,772,699,674,708,637,438,608,996,934,718.4444444444445
KELMSCOTT,1584,2049,1725,2163,2009,1548,1431,1722,1664,1766.111111111111
KENSINGTON,539,440,453,456,263,201,485,237,414,387.55555555555554
KENWICK,908,1058,602,582,635,622,612,589,753,706.7777777777778
KEWDALE,873,974,703,886,839,611,628,687,902,789.2222222222222
KEYSBROOK,28,20,11,22,28,20,35,13,15,21.333333333333332
KIARA,154,185,130,118,139,178,144,113,129,143.33333333333334
KINGSLEY,445,515,379,400,371,291,744,308,392,427.22222222222223
KINROSS,373,319,253,207,218,205,162,223,172,236.88888888888889
KOONDOOLA,540,397,527,540,417,404,462,384,487,462.0
KOONGAMIA,162,163,239,184,160,173,90,120,121,156.88888888888889
KWINANA BEACH,394,282,236,199,394,390,335,382,410,335.77777777777777
KWINANA TOWN CENTRE,380,531,601,705,334,298,327,487,579,471.3333333333333
LANDSDALE,621,617,473,531,468,394,405,422,419,483.3333333333333
LANGFORD,700,707,644,857,898,745,532,631,786,722.2222222222222
LATHLAIN,349,399,348,380,346,387,315,312,482,368.6666666666667
LEDA,525,440,423,437,396,245,400,296,309,385.6666666666667
LEEDERVILLE,611,554,814,760,599,494,519,418,545,590.4444444444445
LEEMING,335,307,404,272,351,252,420,262,300,322.55555555555554
LESMURDIE,420,373,351,492,298,227,205,213,232,312.3333333333333
LOCKRIDGE,597,662,554,445,466,478,467,361,489,502.1111111111111
LYNWOOD,385,380,385,333,297,217,254,335,274,317.77777777777777
MADDINGTON,1823,2144,2241,2737,3037,1961,2074,2113,2674,2311.5555555555557
MADELEY,373,391,349,452,373,318,339,376,415,376.22222222222223
MAHOGANY CREEK,28,31,14,18,22,33,8,18,13,20.555555555555557
MAIDA VALE,320,223,266,162,307,156,185,220,170,223.22222222222223
MANNING,453,352,309,296,255,192,337,396,503,343.6666666666667
MARANGAROO,756,792,598,784,661,597,448,508,613,639.6666666666666
MARDELLA,14,19,20,10,16,24,6,20,12,15.666666666666666
MARIGINIUP,64,68,93,113,56,51,54,61,60,68.88888888888889
MARMION,74,98,78,105,71,30,35,97,58,71.77777777777777
MARTIN,139,226,184,150,136,229,120,143,178,167.22222222222223
MAYLANDS,1298,1234,1451,1721,1532,1452,1299,1453,1472,1434.6666666666667
MEDINA,412,427,502,505,381,358,287,369,398,404.3333333333333
MELVILLE,431,317,372,392,327,211,283,317,569,357.6666666666667
MENORA,108,104,106,108,90,79,87,77,62,91.22222222222223
MERRIWA,592,573,498,572,459,429,417,326,393,473.22222222222223
MIDDLE SWAN,493,500,417,460,463,381,244,310,224,388.0
MIDLAND,2850,3569,3295,3555,3827,3180,2805,2636,3219,3215.1111111111113
MIDVALE,710,794,731,752,603,489,449,470,617,623.8888888888889
MILLENDON,34,21,22,18,26,37,10,17,24,23.22222222222222
MINDARIE,432,515,351,338,432,332,319,322,267,367.55555555555554
MIRRABOOKA,1957,1881,1730,2015,1870,1407,1611,1673,1834,1775.3333333333333
MORLEY,2865,2693,2949,3070,3173,2546,2374,2504,2380,2728.222222222222
MOSMAN PARK,757,1055,789,650,594,517,552,665,840,713.2222222222222
MOUNT CLAREMONT,186,174,161,205,220,152,151,187,168,178.22222222222223
MOUNT HAWTHORN,715,456,501,567,550,292,489,477,625,519.1111111111111
MOUNT HELENA,131,139,102,97,81,73,68,59,83,92.55555555555556
MOUNT LAWLEY,1310,1138,1198,1253,1142,1030,845,942,1040,1099.7777777777778
MOUNT NASURA,357,253,273,199,234,165,233,235,226,241.66666666666666
MOUNT PLEASANT,445,402,322,573,499,267,565,475,419,440.77777777777777
MOUNT RICHON,249,120,104,76,121,100,116,103,92,120.11111111111111
MULLALOO,307,244,232,212,287,173,238,210,208,234.55555555555554
MUNDARING,274,358,239,219,264,150,203,158,152,224.11111111111111
MUNDIJONG,88,80,115,70,96,39,84,56,59,76.33333333333333
MUNSTER,455,347,306,298,345,348,216,161,134,290.0
MURDOCH,538,387,441,455,501,401,446,402,351,435.77777777777777
MYAREE,281,261,311,318,510,172,197,265,289,289.3333333333333
NAVAL BASE,118,69,80,153,97,108,63,75,47,90.0
NEDLANDS,589,572,608,797,765,498,527,497,664,613.0
NEERABUP,123,91,98,113,116,72,91,81,48,92.55555555555556
NOLLAMARA,1422,1470,1800,1657,1261,1371,1363,1675,1835,1539.3333333333333
NORANDA,458,448,442,403,480,445,468,337,407,432.0
NORTH BEACH,300,313,306,257,176,186,211,142,233,236.0
NORTH COOGEE,342,292,240,244,309,304,358,315,333,304.1111111111111
NORTH FREMANTLE,686,540,762,492,634,574,376,408,505,553.0
NORTH LAKE,66,64,78,89,52,41,31,39,42,55.77777777777778
NORTH PERTH,1180,960,1122,1020,1055,923,839,809,949,984.1111111111111
NORTHBRIDGE,2192,2199,2678,3413,3717,2761,3266,2840,2943,2889.8888888888887
O'CONNOR,386,413,295,417,368,298,303,327,203,334.44444444444446
OAKFORD,134,166,162,120,183,144,107,90,77,131.44444444444446
OCEAN REEF,436,359,317,269,305,225,218,223,182,281.55555555555554
OLDBURY,34,28,33,44,29,40,30,18,19,30.555555555555557
ORANGE GROVE,73,70,60,128,52,40,54,41,43,62.333333333333336
ORELIA,665,659,461,558,556,487,488,407,452,525.8888888888889
OSBORNE PARK,1330,1088,1235,1538,1194,768,821,912,1017,1100.3333333333333
PADBURY,439,483,383,421,372,284,305,253,359,366.55555555555554
PALMYRA,655,563,509,679,521,401,365,683,699,563.8888888888889
PARKERVILLE,76,63,54,79,48,63,44,50,48,58.333333333333336
PARKWOOD,462,349,403,423,392,318,353,447,490,404.1111111111111
PARMELIA,734,1087,824,977,706,528,661,622,739,764.2222222222222
PEARSALL,162,169,114,134,156,174,81,78,102,130.0
PEPPERMINT GROVE,117,123,91,78,128,83,69,167,78,103.77777777777777
PIARA WATERS,517,510,361,409,399,376,367,320,378,404.1111111111111
PICKERING BROOK,14,29,30,33,23,33,31,21,41,28.333333333333332
PORT KENNEDY,1317,1071,961,1039,976,859,958,756,916,983.6666666666666
QUEENS PARK,747,588,527,790,718,423,637,781,1040,694.5555555555555
QUINNS ROCKS,675,897,765,712,605,521,428,388,359,594.4444444444445
REDCLIFFE,872,911,746,1049,1024,629,824,713,789,839.6666666666666
RIDGEWOOD,359,405,308,302,254,212,209,155,206,267.77777777777777
RIVERTON,279,350,394,416,413,352,317,346,346,357.0
RIVERVALE,1860,1845,1435,1706,1925,1721,1437,1528,2257,1746.0
ROCKINGHAM,88,88,84,79,90,63,91,116,108,89.66666666666667
ROLEYSTONE,281,246,257,211,200,178,182,153,150,206.44444444444446
ROSSMOYNE,94,132,115,185,97,83,69,120,71,107.33333333333333
SAFETY BAY,673,651,544,490,462,410,414,407,472,502.55555555555554
SALTER POINT,140,118,112,165,124,112,89,88,85,114.77777777777777
SAMSON,17,20,19,7,19,2,19,6,17,14.0
SAWYERS VALLEY,71,163,50,65,45,19,28,40,32,57.0
SCARBOROUGH,1574,1391,1394,1507,1679,1330,1326,1521,1331,1450.3333333333333
SECRET HARBOUR,617,684,578,699,722,529,507,563,582,609.0
SERPENTINE,122,130,114,112,71,95,91,63,110,100.88888888888889
SEVILLE GROVE,1339,1341,1241,1525,1235,965,845,936,972,1155.4444444444443
SHELLEY,221,209,212,160,184,190,160,180,130,182.88888888888889
SHENTON PARK,215,215,217,290,245,198,251,183,212,225.11111111111111
SHOALWATER,392,437,344,348,403,270,217,199,216,314.0
SINAGRA,115,106,93,91,80,69,76,51,76,84.11111111111111
SINGLETON,232,258,177,169,154,175,178,213,126,186.88888888888889
SORRENTO,256,306,207,224,204,162,211,160,285,223.88888888888889
SOUTH FREMANTLE,617,519,540,531,630,480,580,653,732,586.8888888888889
SOUTH GUILDFORD,259,213,207,222,216,237,199,382,241,241.77777777777777
SOUTH LAKE,820,704,856,817,802,646,590,522,580,704.1111111111111
SOUTH PERTH,1672,1536,1411,1539,1322,1164,1476,1545,1340,1445.0
SOUTHERN RIVER,801,777,691,869,633,572,566,650,684,693.6666666666666
SPEARWOOD,1192,1117,1072,1229,1260,979,872,1158,1409,1143.111111111111
ST JAMES,1023,977,835,1097,801,712,769,579,813,845.1111111111111
STIRLING,571,435,446,515,507,266,275,417,396,425.3333333333333
STONEVILLE,275,123,71,39,41,52,34,45,29,78.77777777777777
STRATTON,453,452,488,440,434,351,364,354,470,422.8888888888889
SUBIACO,1236,1300,1373,1249,1259,1166,1150,1113,1341,1243.0
SUCCESS,1254,1263,1294,1060,1058,824,1107,1249,1166,1141.6666666666667
SWAN VIEW,1225,949,939,905,899,668,676,598,594,828.1111111111111
SWANBOURNE,178,179,156,176,140,140,174,169,133,160.55555555555554
TAPPING,300,278,263,185,203,157,156,200,212,217.11111111111111
